"entity","device","lat","lng"
"VDC","AJT101146","0 "," 0"
"VDC","AJT101147","0 "," 0"
"VDC","AJT101148","0 "," 0"
"VDC","AJT101149","0 "," 0"
"VDC","AJT101150","0 "," 0"
"VDC","AJT101151","0 "," 0"
"VDC","AJT101152","0 "," 0"
"VDC","AJT101153","0 "," 0"
"VDC","AJT101154","0 "," 0"
"VDC","AJT101155","0 "," 0"
"VDC","AJT101156","0 "," 0"
"VDC","AJT101157","0 "," 0"
"VDC","AJT101159","0 "," 0"
"VDC","AJT101160","0 "," 0"
"VDC","AJT101162","0 "," 0"
"VDC","AJT101163","0 "," 0"
"VDC","AJT101164","0 "," 0"
"VDC","AJT101165","0 "," 0"
"VDC","AJT101166","0 "," 0"
"VDC","AJT101167","0 "," 0"
"VDC","AJT101168","0 "," 0"
"VDC","AJT101169","0 "," 0"
"VDC","AJT101170","0 "," 0"
"VDC","AJT101171","0 "," 0"
"VDC","AJT101172","0 "," 0"
"VDC","AJT101174","0 "," 0"
"VDC","AJT101177","0 "," 0"
"VDC","AJT101179","0 "," 0"
"VDC","AJT101180","0 "," 0"
"VDC","AJT101182","0 "," 0"
"VDC","AJT101183","0 "," 0"
"VDC","AJT101184","0 "," 0"
"VDC","AJT101185","13.7331319999999995 "," 100.216576000000003"
"VDC","AJT101187","0 "," 0"
"VDC","AJT101192","0 "," 0"
"VDC","AJT101193","0 "," 0"
"VDC","AJT101194","0 "," 0"
"VDC","AJT101195","0 "," 0"
"VDC","AJT101196","0 "," 0"
"VDC","AJT101197","0 "," 0"
"VDC","AJT101198","0 "," 0"
"VDC","AJT101200","0 "," 0"
"VDC","AJT101201","0 "," 0"
"VDC","AJT101202","0 "," 0"
"VDC","AJT101203","0 "," 0"
"VDC","AJT101204","0 "," 0"
"VDC","AJT101205","0 "," 0"
"VDC","AJT101207","0 "," 0"
"VDC","AJT101209","0 "," 0"
"VDC","AJT101211","0 "," 0"
"VDC","AJT101212","0 "," 0"
"VDC","AJT101213","0 "," 0"
"VDC","AJT101214","0 "," 0"
"VDC","AJT101215","0 "," 0"
"VDC","AJT101216","0 "," 0"
"VDC","AJT101219","0 "," 0"
"VDC","AJT101226","0 "," 0"
"VDC","AJT101231","0 "," 0"
"VDC","AJT101235","0 "," 0"
"VDC","AJT101236","0 "," 0"
"VDC","AJT101237","0 "," 0"
"VDC","AJT101238","0 "," 0"
"VDC","AJT101240","0 "," 0"
"VDC","AJT101241","0 "," 0"
"VDC","AJT101247","0 "," 0"
"VDC","AJT101248","0 "," 0"
"VDC","AJT101249","0 "," 0"
"VDC","AJT101250","0 "," 0"
"VDC","AJT101251","0 "," 0"
"VDC","AJT101253","0 "," 0"
"VDC","AJT101254","0 "," 0"
"VDC","AJT101255","0 "," 0"
"VDC","AJT101257","0 "," 0"
"VDC","AJT101259","0 "," 0"
"VDC","AJT101260","0 "," 0"
"VDC","AJT101261","0 "," 0"
"VDC","AJT101262","0 "," 0"
"VDC","AJT101265","0 "," 0"
"VDC","AJT101266","0 "," 0"
"VDC","AJT101268","0 "," 0"
"VDC","AJT101270","17.4490359999999995 "," 102.787315000000007"
"VDC","AJT101271","0 "," 0"
"VDC","AJT101272","0 "," 0"
"VDC","AJT101273","0 "," 0"
"VDC","AJT101274","0 "," 0"
"VDC","AJT101275","0 "," 0"
"VDC","AJT101276","0 "," 0"
"VDC","AJT101277","0 "," 0"
"VDC","AJT101278","0 "," 0"
"VDC","AJT101280","0 "," 0"
"VDC","AJT101281","0 "," 0"
"VDC","AJT101282","0 "," 0"
"VDC","AJT101283","0 "," 0"
"VDC","AJT101284","0 "," 0"
"VDC","AJT101285","0 "," 0"
"VDC","AJT101286","0 "," 0"
"VDC","AJT101288","0 "," 0"
"VDC","AJT101290","0 "," 0"
"VDC","AJT101292","0 "," 0"
"VDC","AJT101295","0 "," 0"
"VDC","AJT101301","0 "," 0"
"VDC","AJT101309","14.7830929999999992 "," 100.399719000000005"
"VDC","AJT101313","0 "," 0"
"VDC","AJT101318","0 "," 0"
"VDC","AJT101320","0 "," 0"
